name,family,num_qubits,method,swap_count,swap_count_source,routing_score,terminal_objective,routing_time_sec,runtime,evaluating_router,original_num_qubits,original_gate_count_all,original_1q_count_all,original_2q_count_all,original_cnot_count_all,original_depth,routed_gate_count_all,routed_1q_count_all,routed_2q_count_all,routed_swap_count,routed_cnot_raw_count,routed_cnot_equiv_count,routed_depth,additional_gates_total,additional_1q_total,additional_2q_total,additional_swap_count,additional_cnot_equiv_from_swap,depth_overhead
qaoa_16_0210,qaoa,16,qiskit_sabre_full,24.0,exact_swap_ops,24.0,24.0,0.010553000029176474,0.010553000029176474,qiskit_sabre_full,16.0,336.0,272.0,64.0,64.0,48.0,360.0,272.0,88.0,24.0,64.0,136.0,84.0,24.0,0.0,24.0,24.0,72.0,36.0
peres_10,peres,3,qiskit_sabre_full,1.0,exact_swap_ops,1.0,1.0,0.007631300017237663,0.007631300017237663,qiskit_sabre_full,3.0,20.0,13.0,7.0,7.0,14.0,21.0,13.0,8.0,1.0,7.0,10.0,19.0,1.0,0.0,1.0,1.0,3.0,5.0
mod10_171,mod10,4,qiskit_sabre_full,31.0,exact_swap_ops,31.0,31.0,0.0063825000543147326,0.0063825000543147326,qiskit_sabre_full,4.0,166.0,103.0,63.0,63.0,126.0,197.0,103.0,94.0,31.0,63.0,156.0,162.0,31.0,0.0,31.0,31.0,93.0,36.0
alu-v4_37,alu-v4,5,qiskit_sabre_full,3.0,exact_swap_ops,3.0,3.0,0.005623900098726153,0.005623900098726153,qiskit_sabre_full,5.0,43.0,27.0,16.0,16.0,32.0,46.0,27.0,19.0,3.0,16.0,25.0,38.0,3.0,0.0,3.0,3.0,9.0,6.0
urf3_156,urf3,10,qiskit_sabre_full,139574.0,exact_swap_ops,139574.0,139574.0,3.710958299925551,3.710958299925551,qiskit_sabre_full,10.0,716832.0,489500.0,227332.0,227332.0,498092.0,856406.0,489500.0,366906.0,139574.0,227332.0,646054.0,637244.0,139574.0,0.0,139574.0,139574.0,418722.0,139152.0
random_28_0250,random,28,qiskit_sabre_full,789.0,exact_swap_ops,789.0,789.0,0.02061250014230609,0.02061250014230609,qiskit_sabre_full,28.0,3443.0,2785.0,658.0,658.0,263.0,4232.0,2785.0,1447.0,789.0,658.0,3025.0,832.0,789.0,0.0,789.0,789.0,2367.0,569.0
sym6_316,sym6,14,qiskit_sabre_full,43.0,exact_swap_ops,43.0,43.0,0.006750799948349595,0.006750799948349595,qiskit_sabre_full,14.0,317.0,210.0,107.0,107.0,195.0,360.0,210.0,150.0,43.0,107.0,236.0,263.0,43.0,0.0,43.0,43.0,129.0,68.0
3_17_14,3_17,3,qiskit_sabre_full,3.0,exact_swap_ops,3.0,3.0,0.006019299849867821,0.006019299849867821,qiskit_sabre_full,3.0,42.0,27.0,15.0,15.0,31.0,45.0,27.0,18.0,3.0,15.0,24.0,41.0,3.0,0.0,3.0,3.0,9.0,10.0
urf5_159,urf5,9,qiskit_sabre_full,22512.0,exact_swap_ops,22512.0,22512.0,0.6562284999527037,0.6562284999527037,qiskit_sabre_full,9.0,126677.0,86089.0,40588.0,40588.0,88155.0,149189.0,86089.0,63100.0,22512.0,40588.0,108124.0,110920.0,22512.0,0.0,22512.0,22512.0,67536.0,22765.0
misex3c_244,misex3c,28,qiskit_sabre_full,443166.0,exact_swap_ops,443166.0,443166.0,11.366428700042889,11.366428700042889,qiskit_sabre_full,28.0,2277687.0,1596093.0,681594.0,681594.0,1629445.0,2720853.0,1596093.0,1124760.0,443166.0,681594.0,2011092.0,2094904.0,443166.0,0.0,443166.0,443166.0,1329498.0,465459.0
4gt4-v0_73,4gt4-v0,16,qiskit_sabre_full,99.0,exact_swap_ops,99.0,99.0,0.008493199944496155,0.008493199944496155,qiskit_sabre_full,16.0,491.0,312.0,179.0,179.0,271.0,590.0,312.0,278.0,99.0,179.0,476.0,480.0,99.0,0.0,99.0,99.0,297.0,209.0
random_32_0348,random,32,qiskit_sabre_full,1129.0,exact_swap_ops,1129.0,1129.0,0.02556469989940524,0.02556469989940524,qiskit_sabre_full,32.0,4380.0,3474.0,906.0,906.0,329.0,5509.0,3474.0,2035.0,1129.0,906.0,4293.0,1072.0,1129.0,0.0,1129.0,1129.0,3387.0,743.0
ham3_103,ham3,3,qiskit_sabre_full,1.0,exact_swap_ops,1.0,1.0,0.009436399908736348,0.009436399908736348,qiskit_sabre_full,3.0,24.0,13.0,11.0,11.0,19.0,25.0,13.0,12.0,1.0,11.0,14.0,23.0,1.0,0.0,1.0,1.0,3.0,4.0
4mod5-v1_24,4mod5-v1,5,qiskit_sabre_full,3.0,exact_swap_ops,3.0,3.0,0.009069399908185005,0.009069399908185005,qiskit_sabre_full,5.0,41.0,27.0,14.0,14.0,28.0,44.0,27.0,17.0,3.0,14.0,23.0,38.0,3.0,0.0,3.0,3.0,9.0,10.0
qft_10,qft,16,qiskit_sabre_full,35.0,exact_swap_ops,35.0,35.0,0.007705300115048885,0.007705300115048885,qiskit_sabre_full,16.0,240.0,150.0,90.0,90.0,69.0,275.0,150.0,125.0,35.0,90.0,195.0,147.0,35.0,0.0,35.0,35.0,105.0,78.0
4gt13_91,4gt13,5,qiskit_sabre_full,6.0,exact_swap_ops,6.0,6.0,0.006046600174158812,0.006046600174158812,qiskit_sabre_full,5.0,80.0,47.0,33.0,33.0,62.0,86.0,47.0,39.0,6.0,33.0,51.0,73.0,6.0,0.0,6.0,6.0,18.0,11.0
qaoa_32_0133,qaoa,32,qiskit_sabre_full,75.0,exact_swap_ops,75.0,75.0,0.009306099964305758,0.009306099964305758,qiskit_sabre_full,32.0,919.0,733.0,186.0,186.0,80.0,994.0,733.0,261.0,75.0,186.0,411.0,149.0,75.0,0.0,75.0,75.0,225.0,69.0
urf6_160,urf6,16,qiskit_sabre_full,54399.0,exact_swap_ops,54399.0,54399.0,1.2957886999938637,1.2957886999938637,qiskit_sabre_full,16.0,214800.0,139620.0,75180.0,75180.0,105875.0,269199.0,139620.0,129579.0,54399.0,75180.0,238377.0,182588.0,54399.0,0.0,54399.0,54399.0,163197.0,76713.0
grover_36_0227,grover,36,qiskit_sabre_full,143.0,exact_swap_ops,143.0,143.0,0.010367000009864569,0.010367000009864569,qiskit_sabre_full,36.0,1782.0,1629.0,153.0,153.0,105.0,1925.0,1629.0,296.0,143.0,153.0,582.0,259.0,143.0,0.0,143.0,143.0,429.0,154.0
routing_stress_12_0356,routing_stress,12,qiskit_sabre_full,13.0,exact_swap_ops,13.0,13.0,0.007171999895945191,0.007171999895945191,qiskit_sabre_full,12.0,146.0,114.0,32.0,32.0,43.0,159.0,114.0,45.0,13.0,32.0,71.0,49.0,13.0,0.0,13.0,13.0,39.0,6.0
rd84_142,rd84,16,qiskit_sabre_full,93.0,exact_swap_ops,93.0,93.0,0.020280900178477168,0.020280900178477168,qiskit_sabre_full,16.0,427.0,273.0,154.0,154.0,136.0,520.0,273.0,247.0,93.0,154.0,433.0,265.0,93.0,0.0,93.0,93.0,279.0,129.0
